x_final,y_final,x,y,theta,input
-0.57,-0.866,0.806884572,-1.878991157,-2.750879506,-0.999991021
-0.57,-0.866,0.782455278,-1.888679816,-2.77716196,-0.999990958
-0.57,-0.866,0.757779807,-1.89772314,-2.803444412,-0.99999089
-0.57,-0.866,0.732875206,-1.906114885,-2.829726863,-0.999990818
-0.57,-0.866,0.707758675,-1.913849252,-2.856009311,-0.999990741
-0.57,-0.866,0.682447564,-1.9209209,-2.882291757,-0.99999066
-0.57,-0.866,0.656959356,-1.927324945,-2.908574201,-0.999990573
-0.57,-0.866,0.631311656,-1.933056963,-2.934856643,-0.999990482
-0.57,-0.866,0.60552218,-1.938112995,-2.961139083,-0.999990386
-0.57,-0.866,0.57960874,-1.942489548,-2.987421519,-0.999990285
-0.57,-0.866,0.553589237,-1.946183599,-3.013703953,-0.999990178
-0.57,-0.866,0.527481643,-1.949192598,-3.039986385,-0.999990065
-0.57,-0.866,0.501303991,-1.951514466,-3.066268813,-0.999989946
-0.57,-0.866,0.475074362,-1.953147599,-3.092551237,-0.999989822
-0.57,-0.866,0.448810874,-1.954090868,-3.118833659,-0.99998969
-0.57,-0.866,0.422531668,-1.954343624,-3.145116077,-0.999989552
-0.57,-0.866,0.396254896,-1.953905691,-3.171398491,-0.999989407
-0.57,-0.866,0.369998707,-1.952777371,-3.197680902,-0.999989254
-0.57,-0.866,0.343781238,-1.950959445,-3.223963308,-0.999989094
-0.57,-0.866,0.317620597,-1.948453168,-3.25024571,-0.999988925
-0.57,-0.866,0.291534855,-1.945260271,-3.276528107,-0.999988748
-0.57,-0.866,0.265542029,-1.94138296,-3.3028105,-0.999988562
-0.57,-0.866,0.239660073,-1.936823913,-3.329092887,-0.999988367
-0.57,-0.866,0.213906865,-1.93158628,-3.35537527,-0.999988161
-0.57,-0.866,0.188300192,-1.925673677,-3.381657646,-0.999987945
-0.57,-0.866,0.162857742,-1.91909019,-3.407940017,-0.999987718
-0.57,-0.866,0.137597089,-1.911840366,-3.434222382,-0.999987478
-0.57,-0.866,0.112535681,-1.903929213,-3.46050474,-0.999987227
-0.57,-0.866,0.087690827,-1.895362194,-3.486787092,-0.999986961
-0.57,-0.866,0.063079689,-1.886145229,-3.513069436,-0.999986682
-0.57,-0.866,0.038719267,-1.876284682,-3.539351773,-0.999986388
-0.57,-0.866,0.014626386,-1.865787367,-3.565634102,-0.999986078
-0.57,-0.866,-0.009182312,-1.854660532,-3.591916423,-0.99998575
-0.57,-0.866,-0.032690382,-1.842911865,-3.618198734,-0.999985404
-0.57,-0.866,-0.055881587,-1.83054948,-3.644481037,-0.999985039
-0.57,-0.866,-0.078739908,-1.817581916,-3.670763329,-0.999984652
-0.57,-0.866,-0.101249557,-1.804018131,-3.697045611,-0.999984243
-0.57,-0.866,-0.123394986,-1.789867494,-3.723327882,-0.99998381
-0.57,-0.866,-0.145160898,-1.775139779,-3.749610141,-0.99998335
-0.57,-0.866,-0.166532261,-1.759845159,-3.775892388,-0.999982862
-0.57,-0.866,-0.187494312,-1.743994198,-3.802174622,-0.999982343
-0.57,-0.866,-0.208032574,-1.727597845,-3.828456841,-0.999981791
-0.57,-0.866,-0.228132859,-1.710667427,-3.854739045,-0.999981203
-0.57,-0.866,-0.247781285,-1.693214636,-3.881021234,-0.999980576
-0.57,-0.866,-0.266964281,-1.675251529,-3.907303405,-0.999979905
-0.57,-0.866,-0.285668598,-1.656790513,-3.933585558,-0.999979188
-0.57,-0.866,-0.303881315,-1.63784434,-3.959867692,-0.999978419
-0.57,-0.866,-0.321589854,-1.618426096,-3.986149805,-0.999977593
-0.57,-0.866,-0.338781984,-1.598549194,-4.012431895,-0.999976705
-0.57,-0.866,-0.35544583,-1.578227364,-4.038713961,-0.999975747
-0.57,-0.866,-0.371569884,-1.557474643,-4.064996001,-0.999974712
-0.57,-0.866,-0.387143008,-1.536305364,-4.091278012,-0.999973592
-0.57,-0.866,-0.402154447,-1.514734151,-4.117559993,-0.999972375
-0.57,-0.866,-0.416593834,-1.492775903,-4.14384194,-0.999971051
-0.57,-0.866,-0.430451195,-1.470445786,-4.170123851,-0.999969605
-0.57,-0.866,-0.44371696,-1.447759226,-4.196405722,-0.99996802
-0.57,-0.866,-0.456381968,-1.424731891,-4.222687549,-0.999966279
-0.57,-0.866,-0.468437472,-1.401379689,-4.248969329,-0.999964357
-0.57,-0.866,-0.479875146,-1.377718747,-4.275251055,-0.999962228
-0.57,-0.866,-0.490687093,-1.35376541,-4.301532721,-0.999959857
-0.57,-0.866,-0.500865845,-1.329536221,-4.327814322,-0.999957204
-0.57,-0.866,-0.510404374,-1.305047918,-4.354095849,-0.999954219
-0.57,-0.866,-0.519296095,-1.280317413,-4.380377292,-0.999950837
-0.57,-0.866,-0.527534867,-1.255361789,-4.40665864,-0.999946979
-0.57,-0.866,-0.535115004,-1.230198282,-4.432939879,-0.999942541
-0.57,-0.866,-0.542031273,-1.204844272,-4.459220992,-0.999937388
-0.57,-0.866,-0.5482789,-1.179317273,-4.485501957,-0.999931341
-0.57,-0.866,-0.553853576,-1.153634914,-4.511782749,-0.999924153
-0.57,-0.866,-0.558751453,-1.127814934,-4.538063332,-0.999915479
-0.57,-0.866,-0.562969157,-1.101875166,-4.564343662,-0.999904822
-0.57,-0.866,-0.566503782,-1.075833527,-4.590623675,-0.999891435
-0.57,-0.866,-0.569352895,-1.049708,-4.616903285,-0.999874145
-0.57,-0.866,-0.571514542,-1.02351663,-4.643182364,-0.999850995
-0.57,-0.866,-0.572987246,-0.997277504,-4.669460711,-0.999818464
-0.57,-0.866,-0.573770014,-0.971008742,-4.695737987,-0.999769507
-0.57,-0.866,-0.573862343,-0.944728482,-4.722013545,-0.999687689
-0.57,-0.866,-0.573264233,-0.918454866,-4.748285872,-0.999523712
-0.57,-0.866,-0.571976253,-0.892206021,-4.774549572,-0.99903118
-0.57,-0.866,-0.57,-0.866,-4.800767769,-0.996061132
-0.57,1.134,0,0,0,-0.99979869
-0.57,1.134,0.024877983,-0.000309473,-0.024877981,-0.999891646
-0.57,1.134,0.049740569,-0.001237712,-0.049756877,-0.999872312
-0.57,1.134,0.074572371,-0.002784146,-0.074635196,-0.999845202
-0.57,1.134,0.099358021,-0.004947801,-0.099512671,-0.99980451
-0.57,1.134,0.124082182,-0.00772731,-0.124388797,-0.999736774
-0.57,1.134,0.148729563,-0.011120907,-0.149262407,-0.999602209
-0.57,1.134,0.173284931,-0.01512638,-0.174129501,-0.999213084
-0.57,1.134,0.19774026,-0.019705462,-0.196069241,-0.764301656
-0.57,1.134,0.222152386,-0.024517159,-0.193147149,0.999179142
-0.57,1.134,0.246627142,-0.028988871,-0.168280578,0.99959412
-0.57,1.134,0.271205529,-0.032850576,-0.143407132,0.999731731
-0.57,1.134,0.295872361,-0.036099768,-0.118531113,0.999800935
-0.57,1.134,0.320612381,-0.038734389,-0.093653716,0.999842476
-0.57,1.134,0.345410283,-0.04075278,-0.068775458,0.999870136
-0.57,1.134,0.37025072,-0.042153674,-0.043896611,0.999889854
-0.57,1.134,0.395118319,-0.042936192,-0.019017335,0.999904605
-0.57,1.134,0.419997688,-0.043099839,0.005862266,0.999916044
-0.57,1.134,0.444873429,-0.042644507,0.030742124,0.999925167
