xP,yP,thetaP,inputP,xE,yE,thetaE,inputE
5.059786548,3.069158175,0.572229815,-4.93E-17,7.305531029,4.507717393,0.57485788,0.005840368
5.106508678,3.099252786,0.572229815,6.51E-17,7.328756685,4.522764078,0.574863327,-0.005446719
5.153230808,3.129347397,0.572229815,6.99E-16,7.351982339,4.537810767,0.574858247,0.005079601
5.199952938,3.159442007,0.572229815,-7.62E-17,7.375207995,4.552857453,0.574862985,-0.004737226
5.246675069,3.189536618,0.572229815,-5.51E-17,7.398433649,4.567904142,0.574858566,0.004417926
5.293397199,3.219631228,0.572229815,8.63E-16,7.421659305,4.582950828,0.574862687,-0.004120148
5.340119329,3.249725839,0.572229815,-2.27E-17,7.444884959,4.597997517,0.574858844,0.00384244
5.386841459,3.27982045,0.572229815,7.48E-16,7.468110615,4.613044203,0.574862428,-0.00358345
5.43356359,3.30991506,0.572229815,4.76E-16,7.491336269,4.628090892,0.574859086,0.003341916
5.48028572,3.340009671,0.572229815,1.31E-15,7.514561925,4.643137578,0.574862202,-0.003116662
5.52700785,3.370104281,0.572229815,4.58E-16,7.53778758,4.658184267,0.574859296,0.002906591
5.57372998,3.400198892,0.572229815,4.39E-16,7.561013235,4.673230953,0.574862007,-0.002710679
5.620452111,3.430293502,0.572229815,-1.44E-16,7.58423889,4.688277641,0.574859478,0.002527973
5.667174241,3.460388113,0.572229815,-2.60E-16,7.607464546,4.703324328,0.574861836,-0.002357582
5.713896371,3.490482724,0.572229815,-3.75E-16,7.6306902,4.718371016,0.574859637,0.002198676
5.760618502,3.520577334,0.572229815,-5.93E-16,7.653915856,4.733417703,0.574861688,-0.002050481
5.807340632,3.550671945,0.572229815,-7.51E-16,7.67714151,4.748464391,0.574859776,0.001912275
5.854062762,3.580766555,0.572229815,-5.42E-16,7.700367166,4.763511078,0.574861559,-0.001783385
5.900784892,3.610861166,0.572229815,-5.57E-16,7.72359282,4.778557766,0.574859896,0.001663184
5.947507023,3.640955777,0.572229815,-3.57E-16,7.746818476,4.793604453,0.574861447,-0.001551085
5.994229153,3.671050387,0.572229815,-3.78E-16,7.770044131,4.808651141,0.57486,0.001446542
6.040951283,3.701144998,0.572229815,-4.39E-16,7.793269786,4.823697828,0.574861349,-0.001349046
6.087673413,3.731239608,0.572229815,-9.88E-17,7.816495441,4.838744515,0.574860091,0.001258123
6.134395544,3.761334219,0.572229815,-1.37E-16,7.839721096,4.853791202,0.574861265,-0.001173329
6.181117674,3.79142883,0.572229815,-1.08E-16,7.862946751,4.86883789,0.57486017,0.001094251
6.227839804,3.82152344,0.572229815,6.51E-17,7.886172406,4.883884577,0.574861191,-0.001020504
