x_final,y_final,x,y,theta,input
-1.33,0.9836,0.88004961,1.465497328,2.05,1
-1.33,0.9836,0.875350379,1.474324401,2.06,1
-1.33,0.9836,0.870563114,1.483104042,2.07,1
-1.33,0.9836,0.865688293,1.491835372,2.08,1
-1.33,0.9836,0.860726404,1.500517517,2.09,1
-1.33,0.9836,0.855677943,1.509149611,2.1,1
-1.33,0.9836,0.850543415,1.517730789,2.11,1
-1.33,0.9836,0.845323333,1.526260194,2.12,1
-1.33,0.9836,0.840018219,1.534736973,2.13,1
-1.33,0.9836,0.834628605,1.543160277,2.14,1
-1.33,0.9836,0.829155028,1.551529265,2.15,1
-1.33,0.9836,0.823598037,1.559843099,2.16,1
-1.33,0.9836,0.817958186,1.568100949,2.17,1
-1.33,0.9836,0.812236041,1.576301989,2.18,1
-1.33,0.9836,0.806432172,1.584445398,2.19,1
-1.33,0.9836,0.800547161,1.592530362,2.2,1
-1.33,0.9836,0.794581596,1.600556072,2.21,1
-1.33,0.9836,0.788536073,1.608521727,2.22,1
-1.33,0.9836,0.782411197,1.616426529,2.23,1
-1.33,0.9836,0.776207581,1.624269689,2.24,1
-1.33,0.9836,0.769925845,1.632050421,2.25,1
-1.33,0.9836,0.763566617,1.639767947,2.26,1
-1.33,0.9836,0.757130532,1.647421497,2.27,1
-1.33,0.9836,0.750618236,1.655010304,2.28,1
-1.33,0.9836,0.744030378,1.66253361,2.29,1
-1.33,0.9836,0.737367618,1.669990662,2.3,1
-1.33,0.9836,0.730630621,1.677380714,2.31,1
-1.33,0.9836,0.723820063,1.684703029,2.32,1
-1.33,0.9836,0.716936622,1.691956873,2.33,1
-1.33,0.9836,0.709980989,1.699141521,2.34,1
-1.33,0.9836,0.702953858,1.706256254,2.35,1
-1.33,0.9836,0.695855933,1.713300362,2.36,1
-1.33,0.9836,0.688687922,1.720273139,2.37,1
-1.33,0.9836,0.681450544,1.727173889,2.38,1
-1.33,0.9836,0.67414452,1.734001921,2.39,1
